Mercyhurst,0.99
Stony Brook,0.99
Green Bay,0.99
W Illinois,0.989
La Salle,0.989
Lamar,0.988
F Dickinson,0.988
Vermont,0.987
Merrimack,0.986
S Indiana,0.986
Jackson St,0.986
St Francis PA,0.984
W Kentucky,0.983
NW State,0.982
Stetson,0.981
Florida AM,0.981
UMass,0.981
Richmond,0.981
Old Dominion,0.98
Wyoming,0.98
Iona,0.98
TCU,0.98
Southern,0.98
Fairfield,0.978
Little Rock,0.977
Charleston So,0.976
Hou Christian,0.974
Pacific,0.973
SC Upstate,0.967
Utah Tech,0.966
Bethune,0.965
LIU,0.964
Prairie View,0.964
Hofstra,0.962
W Georgia,0.962
C Arkansas,0.961
Alcorn St,0.961
Long Beach St,0.96
NC AT,0.959
Saint Peters,0.959
Canisius,0.959
Texas So,0.956
Buffalo,0.954
San Diego,0.954
Morehead St,0.953
Fresno St,0.951
Evansville,0.95
Grambling,0.949
Southern Miss,0.948
Louisiana,0.946
Sacramento St,0.946
UL Monroe,0.945
UC Davis,0.944
AR-Pine Bluff,0.942
Detroit Mercy,0.94
New Orleans,0.94
Lindenwood,0.937
Abl Christian,0.937
Florida Intl,0.935
Air Force,0.931
S Utah,0.929
The Citadel,0.929
NJIT,0.928
N Illinois,0.926
Alabama AM,0.923
E Texas AM,0.922
New Hampshire,0.922
SF Austin,0.921
Seton Hall,0.918
Maryland ES,0.918
Wagner,0.917
E Illinois,0.915
W Carolina,0.91
CS Fullerton,0.886
Chicago St,0.878
Tarleton St,0.876
Coppin St,0.866
Miss Valley St,0.774
