Washington,1.079
Mercyhurst,1.08
Monmouth,1.081
VMI,1.082
CS Bakersfield,1.082
Syracuse,1.083
Richmond,1.084
Army,1.085
NC AT,1.085
W Michigan,1.086
Florida AM,1.086
Fresno St,1.086
Coppin St,1.086
Gardner-Webb,1.087
Detroit Mercy,1.087
Pepperdine,1.087
William Mary,1.088
W Illinois,1.089
Utah Tech,1.089
Sam Houston,1.089
San Diego,1.089
Holy Cross,1.09
Austin Peay,1.091
N Illinois,1.092
Coastal Car,1.093
W Carolina,1.093
Indiana St,1.094
Iowa,1.094
NC Asheville,1.095
Sacramento St,1.096
Charleston So,1.096
New Hampshire,1.097
Denver,1.098
E Michigan,1.098
Delaware,1.098
Weber St,1.098
Georgia St,1.098
UMBC,1.099
UL Monroe,1.099
NC Central,1.101
Charlotte,1.101
E Washington,1.101
Long Beach St,1.102
Wright St,1.102
N Dakota St,1.104
Pacific,1.104
Chicago St,1.105
Buffalo,1.106
Columbia,1.107
Air Force,1.107
Howard,1.109
Penn,1.109
Morgan St,1.111
C Arkansas,1.113
Idaho,1.117
CS Fullerton,1.118
W Georgia,1.119
South Dakota,1.125
Prairie View,1.129
Portland,1.13
Stony Brook,1.132
The Citadel,1.134
Le Moyne,1.139
Toledo,1.139
SC Upstate,1.14
N Florida,1.14
Green Bay,1.141
New Orleans,1.141
North Dakota,1.146
Stetson,1.15
Maryland ES,1.153
AR-Pine Bluff,1.157
Miami,1.159
Canisius,1.163
Oral Roberts,1.169
IU Indy,1.178
Bellarmine,1.18
Miss Valley St,1.214
