Team,2024
Alabama,78.8
Cal Poly,77.5
South Dakota,77
Winthrop,76.8
UCF,75.9
New Mexico,75.5
Bryant,75.5
N Florida,75.1
Alabama AM,75.1
SC Upstate,75
CS Northridge,74.8
W Kentucky,74.6
Akron,74.6
Indiana St,74.5
Illinois,74.5
Grand Canyon,74.5
Morgan St,74.5
Kentucky,74.4
Tennessee St,74.4
Fresno St,74.3
AR-Pine Bluff,74
Mercer,74
Ohio,74
Samford,73.9
UMass,73.9
Memphis,73.8
Delaware St,73.8
Southern Miss,73.8
W Carolina,73.7
Buffalo,73.7
Texas So,73.7
St Johns,73.6
Dartmouth,73.6
Oklahoma St,73.6
Washington St,73.6
Cornell,73.6
San Diego,73.6
S Carolina St,73.4
UMBC,73.4
Gonzaga,73.3
Georgia So,73.3
Rhode Island,73.2
Michigan,73
Kennesaw St,73
North Carolina,73
Temple,72.9
Lindenwood,72.9
Iowa,72.8
N Illinois,72.8
Prairie View,72.8
Howard,72.8
Fordham,72.8
Columbia,72.8
Quinnipiac,72.7
Rutgers,72.7
Charleston,72.7
UT Rio Grande,72.7
Arkansas St,72.6
Arizona St,72.6
NC Asheville,72.6
Florida Intl,72.6
Penn St,72.6
Arizona,72.6
Florida,72.5
Maryland,72.5
Middle Tenn,72.5
Sacred Heart,72.5
Jackson St,72.5
S Florida,72.4
Purdue FW,72.4
Florida Atlantic,72.4
LSU,72.4
Florida St,72.3
Arkansas,72.3
New Orleans,72.3
Youngstown St,72.2
Santa Clara,72.2
Vanderbilt,72.1
William Mary,72.1
Mississippi St,72.1
Abl Christian,72.1
Iowa St,72.1
Southern,72
UAB,72
Bucknell,72
Belmont,71.9
Bowling Green,71.9
UC Irvine,71.9
Gardner-Webb,71.9
Charleston So,71.9
S Utah,71.9
Syracuse,71.8
UTSA,71.8
Miami OH,71.8
Queens,71.8
Portland,71.8
California,71.8
Ohio St,71.8
Wichita St,71.8
Illinois Chicago,71.7
Delaware,71.7
Mississippi,71.7
Georgia Tech,71.7
La Salle,71.7
North Dakota,71.7
Missouri,71.7
Longwood,71.7
Kansas,71.6
NC Central,71.6
Georgia St,71.6
Robert Morris,71.5
Le Moyne,71.5
Nebraska,71.5
S Dakota St,71.4
Xavier,71.4
Marshall,71.4
Milwaukee,71.4
SMU,71.4
Oklahoma,71.4
F Dickinson,71.3
UC Riverside,71.3
C Arkansas,71.3
Utah Valley,71.3
Utah,71.2
Toledo,71.2
Chicago St,71.2
Stetson,71.2
St Thomas,71.2
Bethune,71.2
Indiana,71.2
Alabama St,71.1
UT Arlington,71.1
Iona,71.1
UMass Lowell,71.1
San Francisco,71.1
Oregon,71
Pepperdine,71
Auburn,70.9
Michigan St,70.9
W Michigan,70.9
USC,70.9
Tenn Tech,70.9
BYU,70.9
NC AT,70.9
Albany,70.8
Coppin St,70.8
Texas,70.8
Nicholls,70.8
Denver,70.8
Army,70.8
Sam Houston,70.8
N Colorado,70.7
Omaha,70.7
C Michigan,70.7
Louisville,70.7
E Kentucky,70.7
Saint Josephs,70.7
UTEP,70.7
Green Bay,70.6
S Indiana,70.6
Utah Tech,70.6
Yale,70.5
SE Missouri St,70.5
Detroit Mercy,70.5
Portland St,70.5
Wisconsin,70.5
W Georgia,70.5
Georgia,70.4
Marquette,70.4
