Tennessee St,0.333
Pittsburgh,0.333
Presbyterian,0.333
Tulsa,0.333
VCU,0.333
Davidson,0.333
Duke,0.333
Weber St,0.333
Texas AM-CC,0.333
Abl Christian,0.333
Lehigh,0.333
Cornell,0.333
Missouri,0.333
Butler,0.333
Tarleton St,0.333
VMI,0.333
UT Arlington,0.333
Hou Christian,0.333
Loyola MD,0.308
Delaware,0.3
Incarnate Word,0.3
California,0.3
Florida Intl,0.3
Wofford,0.3
Grambling,0.286
Jacksonville,0.286
Cincinnati,0.286
USC,0.286
San Diego,0.286
Texas So,0.286
UTSA,0.286
Austin Peay,0.286
Rice,0.286
UNLV,0.286
UL Monroe,0.286
IU Indy,0.286
Siena,0.273
S Indiana,0.273
Coastal Car,0.273
Seattle,0.273
F Dickinson,0.273
Lafayette,0.25
Green Bay,0.25
CS Fullerton,0.25
Florida St,0.25
Sacred Heart,0.25
Canisius,0.25
S Carolina St,0.25
G Washington,0.25
Montana St,0.231
Nebraska,0.222
Wright St,0.222
Fresno St,0.222
Providence,0.2
Air Force,0.2
Missouri St,0.2
AR-Pine Bluff,0.2
Utah Tech,0.182
Arizona,0.167
Miami,0.167
Duquesne,0.167
Elon,0.143
NC State,0.125
South Carolina,0.111
Nevada,0.111
Long Beach St,0.111
Kansas City,0.111
N Illinois,0.111
Penn St,0.111
UMass Lowell,0.1
Oregon St,0
The Citadel,0
Chicago St,0
Bellarmine,0
New Orleans,0
Maryland ES,0
Gonzaga,0
SC Upstate,0
Prairie View,0
Alabama AM,0
